question_id,question,predicted,actual,is_correct,response
0,범죄 측정에 대한 설명으로 옳은 것은?,A,A,True,"A. 참여 관찰 연구는 조사자의 주관적 편견이 개입할 수 있고, 시간과 비용이 많이 들며 연구결과의 일반화가 어렵다."
1,국가의 기능과 관련한 죄에 대한 설명으로 옳은 것은?,A,D,False,"문제의 핵심 쟁점은 각 범죄의 성립 여부에 대한 이해입니다. 선택지 각각을 분석하여 형법과 관련 법조항에 비추어 평가하겠습니다.

A. 甲이 자기 자신을 무고하기로 제3자와 공모하고 이에 따라 무고 행위에 가담한 경우, 甲에게 무고죄의 공동정범이 성립한다.
- 무고는 형법 제156조에 규정되어 있으며, 자신의 불리한 사실에 대해 거짓으로 신고하는 행위입니다. 제3자와 공모한 경우, 공동정범이 성립할 수 있습니다. 따라서 이 선택지는 옳습니다.

B. 甲이 허위로 신고한 사실이 무고행위 당시에는 형사처분의 대상이 될 수 있었으나, 이후 그러한 사실이 형사범죄가 되지 않는 것으로 판례가 변경된 경우, 甲에게 무고죄가 성립하지 않는다.
- 무고죄는 신고한 사실이 형사처분 대상이었을 때 성립합니다. 만약 후에 그것이 범죄가 아니라고 판례가 변경된다 해도, 무고죄가 성립하는 것은 형사처분이 가능한 상태에서의 행위여야 하기 때문에 이 선택지는 틀립니다.

C. 甲이 자신에 대한 형사처분이나 징계 처분을"
2,"甲은 처乙과 부부싸움을 하다가 화가 나서 폭행의 고의로 乙의 가슴을 세게 밀쳤고, 乙은 그 충격으로 사망하고 말았다 이후 甲은 자신의 집이 화재보험에 들어있다는 사실을 인지하고, 범행을 은폐하기 위하여 탁자에 불을 붙인 후 밖으로 나와버렸고 집은 전소되었다 그 후 甲은 경찰에 자신이 집을 비운 사이에 불이 나서 乙이 사망하였다고 신고하고 보험회사에 보험금 지급 청구서를 제출하였다 甲의 형사책임에 대한 설명으로 옳지 않은 것은?",C,D,False,"C. 보험금 지급 청구와 관련하여, 허위의 보험금 지급 청구서 작성행위는 사문서의 무형위조에 해당하여 처벌할 수 없으나, 보험회사에 그 보험금 지급 청구서를 제출한 행위는 사기미수죄가 성립한다."
3,명예훼손죄에 대한 설명으로 옳지 않은 것은?,A,D,False,"문제의 핵심은 명예훼손죄에 대한 설명 중 옳지 않은 것을 찾는 것입니다. 각 선택지를 분석해보겠습니다.

A. 공연히 사실을 적시하여 사람의 명예를 훼손한 행위가 형법 제310조의 위법성 조각사유에 해당된다는 점에 대하여는 행위자가 증명하여야 한다.
- 명예훼손의 위법성 조각사유는 일반적으로 피고인이 이를 입증해야 할 필요가 있습니다. 따라서, 이 진술은 그렇다면 맞는 설명입니다.

B. 언론매체가 피해자의 명예를 현저하게 훼손할 수 있는 보도 내용의 주된 부분이 허위임을 충분히 인식하면서도 이를 보도 하였다면, 특별한 사정이 없는 한 거기에는 사람을 비방할 목적이 있다고 볼 것이다.
- 언론매체가 의도적으로 허위사실을 보도하면 이는 비방의 목적이 있다고 판단될 수 있다. 따라서 이 설명은 맞습니다.

C. 개인 블로그의 비공개 대화방에서 상대방으로부터 비밀을 지키겠다는 말을 듣고 1:1로 대화하면서 타인의 명예를 훼손하는 발언을 한 경우, 그러한 사정만으로 상대방이 대화 내용을 불특정 또는 다수"
4,뇌물죄에 대한 설명으로 옳지 않은 것은?,A,A,True,"문제의 핵심은 뇌물죄의 성립 요건과 관련된 사항입니다. 각 선택지를 분석해보겠습니다.

A. ""공무원이 직무와 관련하여 뇌물수수를 약속하고 퇴직 후 이를 수수한 경우에 뇌물 약속과 뇌물수수가 시간적으로 근접하여 연속되어 있는 때에는 형법 제129조 제1항의 뇌물수수죄가 성립한다."" 
- 이는 뇌물에 관한 법리상 맞는 설명입니다. 뇌물 약속과 수수가 연속적으로 이루어질 경우 죄가 성립할 수 있습니다.

B. ""증뢰자가 일방적으로 뇌물을 두고 가므로 후일 기회를 보아 반환할 의사로 일시 보관하다가 반환한 경우에는 뇌물을 수수한 것으로 볼 수 없다.""
- 뇌물을 이른바 '보관'하는 것이고, 반환할 의사가 있었다면 뇌물수수로 보지 않아야 하므로 맞는 설명입니다.

C. ""사무분장에 따라 현실적으로 담당하지 않는 직무도 법령상 일반적인 직무권한에 속하는 직무라면 뇌물죄에서 말하는 직무에 포함된다.""
- 현실적으로 담당하지 않는 직무라도 직무권한에 따라 뇌물죄로 처벌할 수 있으므로 옳"
6,사기죄에 대한 설명으로 옳은 것은?,A,B,False,"문제의 핵심 형법 쟁점은 사기죄의 성립 요건입니다. 사기죄는 피해자가 속임수에 의해 재산상 처분행위를 하였고, 그러한 처분행위로 인해 가해자가 이득을 취한 경우 성립합니다.

선택지 분석:

A. 甲은 피해자 A에게 거짓말로 자동차를 매도한다고 한 후, 소유권 이전등록에 필요한 서류를 교부하여 매매 대금을 수령한 다음, GPS로 자동차를 추적하여 이를 가져간 상황입니다. 피해자가 자동차를 처분한 행위는 甲의 속임수에 의해 이루어진 것으로, 甲에게 사기죄가 성립합니다. 맞는 선택지입니다.

B. 甲이 사업자 등록 명의를 빌려주겠다고 속여 A로부터 명의를 대여받은 경우, '사기죄의 처분행위'가 있었다고 보기 어렵다고 했습니다. 이는 A가 명의를 대여한 것만으로 특정한 처분행위가 발생하지 않는다는 주장인데, 여기에 대한 구체적인 상황이 필요하여 일반적으로 사기죄 성립이 어렵다고 단정할 수 없습니다. 틀린 선택지입니다.

C. 甲이 A에게 거짓말로 A의 예금을 인출하게 한 후, 현금을 집에 보관하도록 했습니다"
7,당사자 능력과 소송능력에 대한 설명으로 옳은 것은?,A,A,True,"확인된 질문은 당사자 능력과 소송 능력에 대한 설명으로 옳은 것을 찾는 것입니다. 각 선택지를 분석해 보겠습니다.

A. 형법 상 책임무능력자도 형사소송법상 당사자 능력을 가질 수 있다.
- 이 진술은 사실과 맞지 않습니다. 책임 무능력자는 형사 법정에서 처벌을 받지 않지만 소송 당사자 능력에 관해서는 문제의 여지가 있을 수 있습니다.

B. 법인에 대한 형사처벌이 양벌규정을 통하여 인정되는 경우에도 법인의 당사자 능력은 인정되지 않는다.
- 이는 사실과 다릅니다. 양벌규정에 의해 법인은 형사책임이 인정되며 이 경우 법인의 당사자 능력도 인정됩니다.

C. 소송능력은 소송 조건이므로 소송능력이 없는 사람에 대하여 공소를 제기한 경우 공소기각의 결정을 하여야 한다.
- 이 진술은 맞습니다. 소송 능력이 없는 자에 대해 소송을 제기하는 것은 불법이므로 공소 기각 사유가 됩니다.

D. 반의사불벌죄에 있어서 피해자는 의사 능력이 있더라도 피의자에 대한 처벌을 희망하지 않는다는 의사 표시를 단독으로 할 수 없다.
- 이"
8,부작위범에 대한 설명으로 옳은 것은?,B,A,False,B.
9,형법 의 적용 범위에 대한 설명으로 옳지 않은 것은?,A,B,False,A.
10,기소와 재판에 대한 설명으로 옳지 않은 것은?,A,B,False,"문제에서 요구하는 기소와 재판에 대한 설명의 옳지 않은 부분에 대해 분석해 보겠습니다.

A. **공소기각의 판결은 피고인에게 불이익한 재판이라고 할 수 없으므로 이에 대하여 피고인은 상소권이 없다.** - 공소기각 판결은 피고인에게 사실상 유죄나 무죄의 판단을 내리지 않기 때문에, 불이익하지 않은 재판으로 볼 수 있으며, 이에 따라 피고인에게 상소권이 없다는 설명은 맞습니다.

B. **공소사실의 동일성이 인정되지 아니하고 실체적 경합 관계에 있는 수개의 공소사실의 전부 또는 일부를 철회하는 공소 취소에 따라 공소기각의 결정이 확정된 때와 마찬가지로, 포괄일죄로 기소된 공소사실 중 일부에 대하여 공소장 변경의 방식으로 이루어진 공소사실의 일부 철회가 있는 경우에 그 범죄 사실에 대하여도 다른 중요한 증거가 발견되지 않는 한 재기소할 수 없다.** - 이 설명은 법리에 맞습니다. 공소기각이 결정된 경우 다시 기소할 수 없는 제한이 적용되므로 옳습니다.

C. **무죄의 제1심 판결에 대하여 검사가 채증법칙 위"
