question_id,question,predicted,actual,is_correct,response
0,범죄 측정에 대한 설명으로 옳은 것은?,A,A,True,A
1,국가의 기능과 관련한 죄에 대한 설명으로 옳은 것은?,B,D,False,B
2,"甲은 처乙과 부부싸움을 하다가 화가 나서 폭행의 고의로 乙의 가슴을 세게 밀쳤고, 乙은 그 충격으로 사망하고 말았다 이후 甲은 자신의 집이 화재보험에 들어있다는 사실을 인지하고, 범행을 은폐하기 위하여 탁자에 불을 붙인 후 밖으로 나와버렸고 집은 전소되었다 그 후 甲은 경찰에 자신이 집을 비운 사이에 불이 나서 乙이 사망하였다고 신고하고 보험회사에 보험금 지급 청구서를 제출하였다 甲의 형사책임에 대한 설명으로 옳지 않은 것은?",C,D,False,C
3,명예훼손죄에 대한 설명으로 옳지 않은 것은?,A,D,False,A
4,뇌물죄에 대한 설명으로 옳지 않은 것은?,B,A,False,B
5,재산범죄에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,C,D,False,C
6,사기죄에 대한 설명으로 옳은 것은?,C,B,False,C
7,당사자 능력과 소송능력에 대한 설명으로 옳은 것은?,C,A,False,C
8,부작위범에 대한 설명으로 옳은 것은?,C,A,False,C
9,형법 의 적용 범위에 대한 설명으로 옳지 않은 것은?,C,B,False,C
10,기소와 재판에 대한 설명으로 옳지 않은 것은?,C,B,False,C
11,상소의 포기 또는 취하에 대한 설명으로 옳지 않은 것은?,B,A,False,B
12,증거와 재판에 대한 설명으로 옳은 것은?,B,C,False,B
13,보호관찰 등에 관한 법률상 보호관찰 심사위원회가 심사․ 결정하는 사항으로 옳지 않은 것은?,D,D,True,D
14,보호관찰 등에 관한 법률상 사회봉사명령과 수강명령에 대한 설명으로 옳지 않은 것은?,A,C,False,A
15,착오에 대한 설명으로 옳지 않은 것은?,B,C,False,B
16,특정범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률상 검사가 위치추적 전자장치 부착명령을 법원에 반드시 청구하여야 하는 경우는?,C,A,False,C
17,공판기일의 절차에 대한 설명으로 옳지 않은 것은?,B,B,True,B
18,송달에 대한 설명으로 옳지 않은 것은?,D,D,True,D
19,형의 집행 및 수용자의 처우에 관한 법률상 귀휴에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,D,D,True,D
20,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 징벌에 대한 설명으로 옳은 것은?,A,B,False,A
21,중간 처벌 제도에 대한 설명으로 옳은 것은?,B,C,False,B
22,형의 집행 및 수용자의 처우에 관한 법령상 교도작업에 대한 설명으로 옳지 않은 것은?,C,D,False,C
23,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 의료에 대한 설명으로 옳지 않은 것은?,B,A,False,B
24,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 처우에 대한 설명으로 옳은 것은?,C,C,True,C
26,범죄 원인에 관한 학자들의 주장으로 옳지 않은 것은?,D,A,False,D
27,형의 집행 및 수용자의 처우에 관한 법률 시행규칙 상 수용자의 처우에 대한 설명으로 옳은 것은?,A,C,False,A
28,교정학 및 형사정책의 연구방법에 대한 설명으로 옳은 것은?,D,D,True,D
29,상고심에 대한 설명으로 옳지 않은 것은?,C,B,False,C
30,항고에 대한 설명으로 옳지 않은 것은?,B,B,True,B
31,전문 증거에 대한 설명으로 옳지 않은 것은?,D,B,False,D
32,보석에 대한 설명으로 옳지 않은 것은?,D,A,False,D
33,수형자 분류 및 처우에 대한 설명으로 옳지 않은 것은?,B,D,False,B
34,벌금 미납자의 사회봉사 집행에 관한 특례법에 대한 설명으로 옳지 않은 것은?,C,B,False,C
35,형의 집행 및 수용자의 처우에 관한 법령상 수형자 교육과 교화프로그램에 대한 설명으로 옳지 않은 것은?,C,D,False,C
36,회복적 사법(restorativejustice)에 대한 설명으로 옳지 않은 것은?,A,A,True,A
37,죄형법정주의에 대한 설명으로 옳지 않은 것은?,B,B,True,B
38,몰수에 대한 설명으로 옳은 것은?,A,A,True,A
39,종범에 대한 설명으로 옳지 않은 것은?,C,C,True,C
40,공동정범에 대한 설명으로 옳지 않은 것은?,B,B,True,B
41,실행의 착수에 대한 설명으로 옳지 않은 것은?,B,C,False,B
42,범죄 유형에 대한 설명으로 옳지 않은 것은?,C,D,False,C
43,미수범의 성립에 대한 설명으로 옳은 것은?,C,C,True,C
44,위법성 조각 사유에 대한 설명으로 옳지 않은 것은?,A,B,False,A
45,법률의 착오에 대한 설명으로 옳지 않은 것은?,D,D,True,D
46,형벌규정의 적용에 대한 설명으로 옳지 않은 것은?,C,D,False,C
47,친고죄에 대한 설명으로 옳지 않은 것은?,D,C,False,D
48,방화죄에 대한 설명으로 옳은 것은?,A,A,True,A
49,협박죄 및 강요죄에 대한 설명으로 옳지 않은 것은?,B,A,False,B
50,추정적 승낙에 대한 설명 중 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,D,A,False,D
51,의료행위에 있어서 과실 여부에 대한 설명으로 옳은 것은?,C,C,True,C
52,형의 집행 및 수용자의 처우에 관한 법령상 미결 수용자의 처우에 대한 설명으로 옳지 않은 것은?,A,D,False,A
