question_id,question,predicted,actual,is_correct,response
0,범죄 측정에 대한 설명으로 옳은 것은?,A,A,True,A
1,국가의 기능과 관련한 죄에 대한 설명으로 옳은 것은?,C,D,False,"C. 甲이 자신에 대한 형사처분이나 징계 처분을 피하기 위하여 증거를 인멸한 것이 동시에 다른 공범자의 증거를 인멸한 결과가 된 경우, 甲"
2,"甲은 처乙과 부부싸움을 하다가 화가 나서 폭행의 고의로 乙의 가슴을 세게 밀쳤고, 乙은 그 충격으로 사망하고 말았다 이후 甲은 자신의 집이 화재보험에 들어있다는 사실을 인지하고, 범행을 은폐하기 위하여 탁자에 불을 붙인 후 밖으로 나와버렸고 집은 전소되었다 그 후 甲은 경찰에 자신이 집을 비운 사이에 불이 나서 乙이 사망하였다고 신고하고 보험회사에 보험금 지급 청구서를 제출하였다 甲의 형사책임에 대한 설명으로 옳지 않은 것은?",C,D,False,"C. 보험금 지급 청구와 관련하여, 허위의 보험금 지급 청구서 작성행위는 사문서의 무형위조에 해당하여 처벌할 수 없으나, 보험회사에 그 보험금 지급"
3,명예훼손죄에 대한 설명으로 옳지 않은 것은?,A,D,False,A
4,뇌물죄에 대한 설명으로 옳지 않은 것은?,B,A,False,B
6,사기죄에 대한 설명으로 옳은 것은?,A,B,False,A
7,당사자 능력과 소송능력에 대한 설명으로 옳은 것은?,C,A,False,C. 소송능력은 소송 조건이므로 소송능력이 없는 사람에 대하여 공소를 제기한 경우 공소기각의 결정을 하여야 한다.
8,부작위범에 대한 설명으로 옳은 것은?,C,A,False,C
9,형법 의 적용 범위에 대한 설명으로 옳지 않은 것은?,C,B,False,C
10,기소와 재판에 대한 설명으로 옳지 않은 것은?,C,B,False,C
11,상소의 포기 또는 취하에 대한 설명으로 옳지 않은 것은?,B,A,False,B. 피고인은 사형 또는 무기징역이나 무기금고가 선고된 판결에 대하여는 상소의 포기를 할 수 없다.
12,증거와 재판에 대한 설명으로 옳은 것은?,B,C,False,B
13,보호관찰 등에 관한 법률상 보호관찰 심사위원회가 심사․ 결정하는 사항으로 옳지 않은 것은?,D,D,True,D. 보호관찰을 조건으로 한 형의 선고 유예의 실효
14,보호관찰 등에 관한 법률상 사회봉사명령과 수강명령에 대한 설명으로 옳지 않은 것은?,B,C,False,B.
15,착오에 대한 설명으로 옳지 않은 것은?,A,C,False,A
16,특정범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률상 검사가 위치추적 전자장치 부착명령을 법원에 반드시 청구하여야 하는 경우는?,C,A,False,C.
17,공판기일의 절차에 대한 설명으로 옳지 않은 것은?,B,B,True,B
18,송달에 대한 설명으로 옳지 않은 것은?,C,D,False,C
19,형의 집행 및 수용자의 처우에 관한 법률상 귀휴에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,A,D,False,A. ○×××
20,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 징벌에 대한 설명으로 옳은 것은?,C,B,False,C. 소장은 특별한 사유가 없으면 의사로 하여금 징벌 대상자에 대한 심리상담을 하도록 해야 한다.
21,중간 처벌 제도에 대한 설명으로 옳은 것은?,B,C,False,"B. 충격구금은 보호관찰의 집행 중에 실시하는 것으로, 일시적인 구금을 통한 고통의 경험이 미래 범죄행위에 대한 억지력을 발휘할 것이라는 가정을 전제로"
22,형의 집행 및 수용자의 처우에 관한 법령상 교도작업에 대한 설명으로 옳지 않은 것은?,C,D,False,C. 소장은 금고형 또는 구류형의 집행 중에 있는 사람에 대하여는 신청에 따라 작업을 부과할 수 있다.
