question_id,question,predicted,actual,is_correct,response
0,범죄 측정에 대한 설명으로 옳은 것은?,A,A,True,"A. 참여 관찰 연구는 조사자의 주관적 편견이 개입할 수 있고, 시간과 비용이 많이 들며 연구결과의 일반화가 어렵다."
1,국가의 기능과 관련한 죄에 대한 설명으로 옳은 것은?,C,D,False,"정답은 C입니다. 

A: 甲이 자기 자신을 무고하기로 제3자와 공모하고 이에 따라 무고 행위에 가담한 경우, 甲에게 무고죄의 공동정범이 성립한다는 주장은 맞지만, 직무 관련 범죄와 관련한 내용이 아니라서 질문의 요지와는 맞지 않습니다.

B: 甲이 허위로 신고한 사실이 무고행위 당시에는 형사처분의 대상이 될 수 있었으나, 이후 그러한 사실이 형사범죄가 되지 않는 것으로 판례가 변경된 경우, 甲에게 무고죄가 성립하지 않는다는 주장은 형법 제5조에 따라 적절하지 않습니다. 

C: 甲이 자신에 대한 형사처분이나 징계 처분을 피하기 위하여 증거를 인멸한 것이 동시에 다른 공범자의 증거를 인멸한 결과가 된 경우, 甲에게 증거인멸죄가 성립한다는 주장은 적절합니다. 형법 제37조의 경합범과 관련하여, 공동으로 범죄를 저지른 경우 각각의 범죄가 성립할 수 있습니다.

D: 공무원인 甲이 직무 관련자에게 제3자와 계약을 체결하도록 요구하여 계약을 체결하게 한 행위는 자료에 명시된 바"
2,"甲은 처乙과 부부싸움을 하다가 화가 나서 폭행의 고의로 乙의 가슴을 세게 밀쳤고, 乙은 그 충격으로 사망하고 말았다 이후 甲은 자신의 집이 화재보험에 들어있다는 사실을 인지하고, 범행을 은폐하기 위하여 탁자에 불을 붙인 후 밖으로 나와버렸고 집은 전소되었다 그 후 甲은 경찰에 자신이 집을 비운 사이에 불이 나서 乙이 사망하였다고 신고하고 보험회사에 보험금 지급 청구서를 제출하였다 甲의 형사책임에 대한 설명으로 옳지 않은 것은?",A,D,False,"문제의 핵심 형법 쟁점은 甲의 폭행치사 및 방화 혐의와 관련된 형사 책임의 성립 여부입니다.

1. **문제의 핵심 쟁점 파악**:
   - 甲이 乙을 폭행하여 사망에 이르게 한 사건은 폭행치사죄에 해당하고, 이후 방화 행위는 고의로 범죄를 은폐하려는 의도를 가지고 있습니다. 따라서 각 범죄의 성격, 고의, 그리고 연관성을 체크해야 합니다.

2. **관련 법조항 적용**:
   - 폭행치사죄(형법 250조)와 방화죄(형법 167조), 증거인멸죄(형법 156조) 등이 고려되어야 합니다. 또한, 보험사기에 관한 규정도 참고해야 합니다.

3. **판례 원칙 적용**:
   - 사기와 관련된 판례에서, 허위의 보험금 청구에 대한 법적 평가가 필요합니다.

4. **각 선택지 법적 분석**:
   - A. 폭행치사죄와 방화죄가 각각 성립한다고 볼 수 있습니다. (정확)
   - B. 설사 甲이 살인의 고의로 방화했다면, 현주건조물방화치사죄가 성립할 수 있으므로 이는 맞는 주장"
3,명예훼손죄에 대한 설명으로 옳지 않은 것은?,A,D,False,"문제의 핵심 쟁점은 명예훼손죄의 요건 및 위법성 조각사유와 관련된 내용입니다.

1) **핵심 쟁점 파악**: 명예훼손죄의 구성요건 및 위법성 조각사유에 대한 서술이 동일한지 확인하는 것입니다.
  
2) **관련 법조항 적용**: 
   - 제307조에 따르면, 사실을 공연히 적시하여 명예를 훼손한 행위에 대해 처벌하도록 규정하고 있습니다.
   - 위법성 조각사유는 원칙적으로 행위자가 증명하여야 하며, 사실 적시가 명예 훼손으로 이어지지 않도록 보호받을 수 있는 조건들에 따라 결정됩니다.
   
3) **판례 원칙 적용**: 명예훼손죄의 요건 및 위법성 조각사유는 판례에 의해 증명 책임이 행위자에게 있다는 점이 여러 측면에서 명확히 드러납니다.

4) **각 선택지 법적 분석**:
   - A: 맞습니다. 행위자가 위법성 조각사유에 대한 증명 책임이 있다는 것이 맞습니다.
   - B: 맞습니다. 언론매체가 허위 내용을 갖고 명예를 훼손하면 비방할 목적이 있다고 볼"
4,뇌물죄에 대한 설명으로 옳지 않은 것은?,A,A,True,"이번 문제는 뇌물죄에 대한 여러 가지 설명 중에서 옳지 않은 것을 찾는 것입니다.

A. 공무원이 직무와 관련하여 뇌물수수를 약속하고 퇴직 후 이를 수수한 경우 형법 제129조 제1항의 뇌물수수죄가 성립한다는 주장은 올바릅니다. 약속과 수수가 시간적으로 근접해 있어 연속성이 인정되기에 성립한다고 볼 수 있습니다.

B. 증뢰자가 뇌물을 일방적으로 두고 가는 경우, 후일 기회를 보아 반환할 의사로 일시 보관하다가 반환한 것은 뇌물을 수수한 것으로 볼 수 없습니다. 이는 일반적으로 뇌물을 받은 것으로 인정되지 않으므로 옳습니다.

C. 현실적으로 담당하지 않는 직무라도 법령상 일반적인 직무권한에 속하는 직무라면 뇌물죄의 관점에서 '직무'에 포함된다고 해석되므로 맞는 설명입니다.

D. 뇌물 수수에 있어 공여자를 기망한 경우, 뇌물죄와 사기죄의 상상적 경합으로 처단해야 한다는 설명은 법적으로 맞지 않는 경우가 많습니다. 일반적으로 뇌물죄가 성립하고, 그에 따른 형벌이 적용되는 것이지 사기죄와의 경합으로 처리되지는 않습니다."
5,재산범죄에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,A,D,False,"문제의 재산범죄에 대한 설명을 분석하기 위해 관련 법조항들을 검토하겠습니다.

1) **문제 분석**: 재산범죄의 개념 및 그 범주에 대한 정확한 이해가 필요하며, 각 선택지 안에 제시된 내용을 판단해야 합니다. 
2) **법조항 적용**: 제283조, 제332조, 제331조의2, 제37조와 같은 재산범죄와 관련된 조항을 통해 범죄의 성격, 형량 및 경합범 처우를 이해해야 합니다.
3) **법적 분석**:
   - **제283조**: 주로 고의적 협박에 관한 조항이며, 재산권을 위협하는 행위에 초점을 맞춥니다.
   - **제332조**: 상습절도 및 포괄일죄에 대한 내용으로 재산범죄에 포함됩니다.
   - **제37조**: 경합범의 관련 규정으로 경합 범죄에 대한 처벌을 명시합니다.
   - **제331조의2**: 특수절도에 대한 규정으로 특정한 형세를 보장합니다.
   
4) **각 선택지 분석**:
   - A. ○×○○: 재산범죄에 대한 설명이 두 가지가 맞고 두 가지가 틀린 경우로 해석될"
6,사기죄에 대한 설명으로 옳은 것은?,A,B,False,"사기죄의 구성요건은 피해자의 재산상 이익을 침해할 목적으로 거짓말을 하여 그로 인해 피해자가 처분행위를 하도록 만드는 것입니다. 각 선택지를 분석해 보겠습니다.

A. 甲이 피해자 A에게 자동차를 매도하겠다고 거짓말하고 자동차를 양도하면서 필요한 서류를 교부하여 매매 대금을 수령한 후 자동차를 가져간 경우, 甲에게 사기죄가 성립할 수 있습니다. 이는 A가 자동차를 처분하도록 한 행위가 거짓말에 기반하고 있으며, 이로 인해 A의 재산적 이익이 침해되었습니다. 따라서 사기죄가 성립할 수 있습니다.

B. 甲이 A에게 사업자 등록 명의를 빌려주겠다고 속이고 명의를 대여받은 경우, A가 단순히 명의를 대여했다고 해서 사기죄가 성립한다고 보기는 어려울 수 있습니다. 피해자가 처분행위를 통해 재산상의 손해가 발생할 필요가 있으므로, 이 선택지는 맞지 않습니다.

C. 甲이 A에게 그의 예금을 인출하게 하고 그 현금을 집에 보관하라고 거짓말한 경우, A가 처분행위를 하였고 이로 인해 A의 재산상 이익이 침해된 것이므로 사기죄가 성립합니다. 따라서 이 선택지는"
7,당사자 능력과 소송능력에 대한 설명으로 옳은 것은?,A,A,True,"문제를 분석해보면, 당사자 능력과 소송 능력에 관한 다양한 설명이 제시되어 있습니다. 각 선택지를 검토해보겠습니다.

A. 형법 상 책임무능력자도 형사소송법 상 당사자 능력을 가질 수 있다.
- 책임 무능력자는 형법에 의해 형사처벌이 면제되는 상태이지만, 소송에서의 당사자 능력은 별도의 기준으로 판단되므로 이 선택지는 틀린 것입니다.

B. 법인에 대한 형사처벌이 양벌규정을 통하여 인정되는 경우에도 법인의 당사자 능력은 인정되지 않는다.
- 법인은 양벌규정에 의해 형사처벌을 받을 수 있으므로, 법인의 당사자 능력은 존재합니다. 따라서 이 선택지도 틀립니다.

C. 소송능력은 소송 조건이므로 소송능력이 없는 사람에 대하여 공소를 제기한 경우 공소기각의 결정을 하여야 한다.
- 소송능력은 소송의 조건 중 하나이며, 소송능력이 없는 경우에는 공소가 기각되어야 합니다. 이 진술은 옳습니다.

D. 반의사불벌죄에 있어서 피해자는 의사 능력이 있더라도 피의자에 대한 처벌을 희망하지 않는다는 의사 표시를 단독으로 할 수"
8,부작위범에 대한 설명으로 옳은 것은?,C,A,False,"부작위범에 대한 설명으로 가장 적절한 것은 다음과 같습니다.

C. 피고인이 모텔방에 투숙하여 담뱃불이 완전히 꺼졌는지 여부를 확인하지 않은 채 불이 붙기 쉬운 휴지를 재떨이에 버리고 잠을 잔 과실로 화재가 발생하였으나 모텔 주인이나 다른 투숙객들에게 알리지 않아 다른 사람들을 사망케 한 경우, 위 화재가 피고인의 중대한 과실 있는 선행행위로 발생한 이상 피고인에게는 화재를 소화할 법률상 의무가 있다 할 것이어서 화재 발생 사실을 알리지 않은 부작위만으로도 현주건조물 방화치사죄가 성립한다.

부작위범인 경우, 법적으로 특정한 의무를 다하지 않음으로써 법익을 침해하는 경우가 많습니다. 여기서 피고인은 불의의 화재 상황을 보고하지 않았으며, 이는 하나의 부작위로써, 화재 발생의 결과를 초래했습니다. 이는 형법적으로 과실에 의한 범죄로 설명될 수 있습니다. 

따라서 최종 답변은 C입니다."
9,형법 의 적용 범위에 대한 설명으로 옳지 않은 것은?,A,B,False,"문제의 핵심 형법 쟁점은 형법의 적용 범위를 어떻게 해석하는가에 대한 것입니다. 각 선택지들을 분석하여 옳지 않은 설명을 찾아야 합니다.

A. 행위 시 형법을 적용하면 집행유예 결격사유에 해당하지 않지만, 현행 형법을 적용할 경우 집행유예 결격사유에 해당한다면, 이 경우 피고인에게 유리한 행위 시 형법을 적용해야 한다.
- 이 설명은 올바릅니다. 형법 제2조에 따라 피고인에게 유리한 규정이 있을 경우 이를 적용해야 하므로 맞습니다.

B. 형벌에 관한 법령이 헌법재판소의 위헌 결정으로 인해 그 효력을 상실한 경우 그 법령을 적용하여 공소가 제기된 피고 사건에 대하여는 형법 제1조 제2항의 ‘범죄 후 법령의 개폐로 인하여 범죄를 구성하지 아니하는 때’에 해당하므로 법원은 면소 판결을 선고해야 한다.
- 이 설명도 올바릅니다. 위헌 판결에 따른 법령의 효력 상실로 면소 판결이 가능하므로 맞습니다.

C. ‘납세의무자가 정당한 사유 없이 1회계연도에 3회 이상 체납하는 경우’를"
